"Character","Name","Width","Height","CornerR","CornerG","CornerB","CornerA"
"gpt","조금애매함","1254","1254","254","253","255","255"
"gpt","좀웃긴데","1254","1254","254","253","255","255"
"gpt","좋은데","1254","1254","254","255","255","255"
"gpt","좋은질문","1254","1254","253","255","255","255"
"gpt","찾아오는중","1254","1254","254","253","254","255"
"gpt","출처있음","1254","1254","254","255","255","255"
"gpt","파일줘봐","1254","1254","254","255","255","255"
"gpt","하트","1254","1254","254","253","254","255"
"gpt","확인해봄","1254","1254","254","255","255","255"
"claude","AGI","1254","1254","253","253","253","255"
"claude","AI인 제가 이런걸 봐야할까요","1254","1254","253","253","255","255"
"claude","G.O.A.T","1254","1254","253","253","255","255"
"claude","J.O.A.T","1254","1254","253","253","255","255"
"claude","ㄹㅇㅋㅋ","1254","1254","254","254","255","255"
"claude","ㄹㅇ이가;","1254","1254","252","252","252","255"
"claude","개추","1254","1254","253","254","255","255"
"claude","검토완료","1254","1254","253","253","253","255"
"claude","계산끝","1254","1254","253","253","255","255"
"claude","그건별로","1254","1254","253","253","255","255"
"claude","그건안돼","1254","1254","253","253","255","255"
"claude","그정돈아님","1254","1254","253","254","255","255"
"claude","근거있음","1254","1254","254","253","253","255"
"claude","꺼져","1254","1254","253","254","255","255"
"claude","꽤괜찮은데","1254","1254","253","253","253","255"
"claude","내가볼게","1254","1254","253","253","255","255"
"claude","다시해봐","1254","1254","253","253","255","255"
"claude","대충맞음","1254","1254","95","87","91","255"
"claude","똥ㅋㅋ","1254","1254","253","253","255","255"
"claude","물음표3개","1254","1254","253","253","253","255"
"claude","바로가능","1254","1254","253","254","255","255"
"claude","버그발견","1254","1254","253","253","255","255"
"claude","비추","1254","1254","253","253","255","255"
"claude","수정완료","1254","1254","253","253","255","255"
"claude","아닌데","1254","1254","253","254","255","255"
"claude","어흐~","1254","1254","253","253","253","255"
"claude","오류났다","1254","1254","253","253","255","255"
"claude","윙크","1254","1254","253","253","253","255"
"claude","이건쉬움","1254","1254","252","253","252","255"
"claude","이건웃기네","1254","1254","253","254","255","255"
"claude","잘자","1254","1254","253","253","253","255"
"claude","잠깐만","1254","1254","253","253","255","255"
"claude","잠시로딩","1254","1254","253","253","255","255"
"claude","조금애매함","1254","1254","253","253","255","255"
"claude","좀웃긴데","1254","1254","253","253","253","255"
"claude","좋은데","1254","1254","253","254","255","255"
"claude","좋은질문","1254","1254","253","254","255","255"
"claude","찾아오는중","1254","1254","253","254","255","255"
"claude","출처있음","1254","1254","253","253","255","255"
"claude","파일줘봐","1254","1254","253","253","255","255"
"claude","하트","1254","1254","253","253","255","255"
"claude","확인해봄","1254","1254","254","253","253","255"
